DEC_1	DEC_2	E2_1	E2_2	UNTR_1	UNTR_2
ENSMUSG00000077305	0	0	0	0	0	0
ENSMUSG00000088350	0	0	0	0	0	0
ENSMUSG00000093274	0	0	0	0	0	0
ENSMUSG00000087960	0	0	0	0	0	0
ENSMUSG00000088417	1	0	0	0	0	0
ENSMUSG00000059898	0	1	0	0	1	0
ENSMUSG00000024331	7	4	2	3	4	7
ENSMUSG00000044322	0	0	0	0	2	1
ENSMUSG00000034774	0	1	1	0	1	1
ENSMUSG00000069441	0	0	0	0	0	5
ENSMUSG00000061928	1	0	0	0	1	2
ENSMUSG00000001804	1	0	0	0	1	0
ENSMUSG00000056632	0	1	0	0	0	3
ENSMUSG00000044393	40	30	10	14	21	35
ENSMUSG00000085595	0	0	1	0	0	0
ENSMUSG00000061808	2	0	0	0	0	0
ENSMUSG00000091449	27	39	20	31	22	32
ENSMUSG00000056124	3702	3590	2280	2077	2000	2203
ENSMUSG00000033382	3609	3320	3376	3165	1964	2237
ENSMUSG00000088549	4	3	9	6	9	4
ENSMUSG00000033107	35	33	30	21	18	25
ENSMUSG00000024317	672	601	570	535	588	619
ENSMUSG00000024313	0	0	0	0	0	1
ENSMUSG00000062962	0	0	0	0	1	0
ENSMUSG00000042680	16	19	9	8	13	15
ENSMUSG00000077588	0	0	0	0	0	0
ENSMUSG00000070226	0	0	0	0	0	1
ENSMUSG00000042514	6	2	0	4	2	2
ENSMUSG00000043168	2	2	3	2	5	4
ENSMUSG00000024306	0	3	0	0	0	2
ENSMUSG00000045215	2	0	0	0	3	2
ENSMUSG00000080651	0	0	0	0	0	0
ENSMUSG00000041923	3	2	0	0	2	2
ENSMUSG00000092708	0	0	0	0	1	0
ENSMUSG00000077680	0	0	0	0	0	0
ENSMUSG00000024302	5	5	2	0	20	9
ENSMUSG00000086287	9	13	13	7	14	21
ENSMUSG00000024277	4661	4614	3886	3770	3360	3666
ENSMUSG00000089290	0	0	0	0	0	0
ENSMUSG00000091818	3	5	6	3	13	6
ENSMUSG00000024276	1527	1428	1262	1257	895	975
ENSMUSG00000024274	99	112	94	77	43	65
ENSMUSG00000063281	878	856	855	749	659	783
ENSMUSG00000051469	1451	1393	1311	1269	984	1116
ENSMUSG00000047989	1490	1512	1412	1271	1229	1493
ENSMUSG00000000420	7918	7743	7057	6685	5849	6489
ENSMUSG00000091363	32	31	31	30	21	37
ENSMUSG00000065532	0	1	0	0	0	0
ENSMUSG00000024273	426	399	390	383	377	410
ENSMUSG00000040446	1094	1008	1148	1019	789	903
ENSMUSG00000080588	0	0	0	0	0	0
ENSMUSG00000024270	1316	1231	1630	1513	1113	1262
ENSMUSG00000024271	2705	2690	2577	2351	2207	2599
ENSMUSG00000039616	2336	2247	2000	1725	1489	1653
ENSMUSG00000084472	2	2	3	3	0	1
ENSMUSG00000054745	0	0	0	0	0	0
ENSMUSG00000034295	31	23	26	21	39	27
ENSMUSG00000088920	0	0	0	0	0	0
ENSMUSG00000024269	427	355	403	371	379	444
ENSMUSG00000033632	309	280	245	265	167	228
ENSMUSG00000089908	1	3	2	0	0	1
ENSMUSG00000024268	11	15	8	10	13	9
ENSMUSG00000084537	0	0	0	0	0	0
ENSMUSG00000087121	0	1	0	0	0	0
ENSMUSG00000088098	0	0	0	0	0	0
ENSMUSG00000087879	0	0	0	0	0	0
ENSMUSG00000046636	12	12	4	6	12	8
ENSMUSG00000087940	0	0	0	0	1	0
ENSMUSG00000033628	1891	1760	1856	1731	1567	1721
ENSMUSG00000091785	1	0	0	0	0	0
ENSMUSG00000088126	0	0	0	0	0	0
ENSMUSG00000055771	0	0	0	0	0	0
ENSMUSG00000080555	0	0	0	0	0	0
ENSMUSG00000057455	0	0	0	0	1	1
ENSMUSG00000076996	0	0	0	0	0	0
ENSMUSG00000024261	0	0	1	0	0	0
ENSMUSG00000085520	0	0	0	0	2	0
ENSMUSG00000077169	0	0	0	0	0	0
ENSMUSG00000024259	1808	1784	1991	1807	1444	1605
ENSMUSG00000092124	2	2	3	3	3	5
ENSMUSG00000024260	2108	2152	1917	1755	1281	1442
ENSMUSG00000041915	1032	1055	1052	993	500	549
ENSMUSG00000086768	2	1	2	1	2	2
ENSMUSG00000024258	704	626	559	475	616	714
ENSMUSG00000024400	2635	2347	2624	2440	1987	2243
ENSMUSG00000091561	0	1	0	1	0	1
ENSMUSG00000090447	20	21	16	15	9	9
ENSMUSG00000093604	0	1	1	0	0	1
ENSMUSG00000044982	205	176	219	156	154	172
ENSMUSG00000024395	75	55	122	114	82	79
ENSMUSG00000052229	1	2	7	6	1	5
ENSMUSG00000024388	5	2	2	2	11	11
ENSMUSG00000084824	284	247	246	244	114	116
ENSMUSG00000085300	0	0	0	0	0	0
ENSMUSG00000024384	1686	1767	1632	1580	1137	1182
ENSMUSG00000024386	0	1	0	0	3	0
ENSMUSG00000090784	0	3	3	1	1	2
ENSMUSG00000024383	2919	2804	2751	2658	1497	1632
ENSMUSG00000024382	2115	2071	2284	2077	1799	2049
ENSMUSG00000089529	0	0	0	0	0	0
ENSMUSG00000085670	7	2	5	4	2	13
ENSMUSG00000024381	4478	4492	4239	3985	4360	4949
ENSMUSG00000090523	1618	1564	1507	1296	1687	1915
ENSMUSG00000024380	0	0	0	0	0	0
ENSMUSG00000087715	0	0	0	0	0	0
ENSMUSG00000085056	1	0	1	0	0	0
ENSMUSG00000024379	4	5	11	7	6	8
ENSMUSG00000093130	0	0	0	0	0	0
ENSMUSG00000038299	1139	1099	1056	902	974	1111
ENSMUSG00000087447	1	0	0	0	1	1
ENSMUSG00000038128	186	190	105	104	144	182
ENSMUSG00000088077	0	0	0	0	0	0
ENSMUSG00000024378	744	666	788	690	539	592
ENSMUSG00000042834	384	321	324	309	385	427
ENSMUSG00000073610	0	0	0	1	0	1
ENSMUSG00000087590	211	234	234	218	267	334
ENSMUSG00000092819	9	13	5	8	11	6
ENSMUSG00000024376	3	9	2	1	6	12
ENSMUSG00000088501	0	0	0	0	0	0
ENSMUSG00000077263	0	0	0	0	0	0
ENSMUSG00000089056	0	0	0	0	1	0
ENSMUSG00000073607	8	10	8	8	6	10
ENSMUSG00000005871	3305	3268	3014	2908	1484	1731
ENSMUSG00000014504	1345	1311	1223	1184	1185	1350
ENSMUSG00000005873	9047	8755	8144	7389	7758	8634
ENSMUSG00000014503	392	407	418	412	309	325
ENSMUSG00000036501	2293	2205	2418	2230	1331	1449
ENSMUSG00000084467	0	0	0	0	0	0
ENSMUSG00000012282	0	0	0	0	0	0
ENSMUSG00000035984	1	0	0	0	2	0
ENSMUSG00000049357	12	21	27	18	20	20
ENSMUSG00000003778	2778	2710	3034	2888	1878	2127
ENSMUSG00000003779	261	259	450	426	252	306
ENSMUSG00000024370	896	833	833	811	570	703
ENSMUSG00000064857	0	0	0	0	0	0
ENSMUSG00000024366	4	2	1	0	2	3
ENSMUSG00000044201	40	40	71	65	51	37
ENSMUSG00000078240	1	0	6	1	2	0
ENSMUSG00000085410	13	11	19	24	13	10
ENSMUSG00000034300	2663	2583	2090	1942	1619	1785
ENSMUSG00000038773	6859	6692	7338	6862	4288	4705
ENSMUSG00000087280	26	39	18	31	13	11
ENSMUSG00000038555	13	11	19	10	10	14
ENSMUSG00000038418	6490	6671	983	933	2784	3073
ENSMUSG00000091428	0	0	0	0	0	0
ENSMUSG00000024360	7568	7106	7252	6757	6221	6727
ENSMUSG00000024359	7433	7237	7004	6418	6428	7039
ENSMUSG00000089239	0	1	1	1	2	1
ENSMUSG00000065904	9	2	7	9	4	3
ENSMUSG00000090620	1	0	0	0	2	0
ENSMUSG00000037815	22804	22222	28568	27073	21981	24713
ENSMUSG00000071862	19	8	3	8	8	8
ENSMUSG00000024357	1130	1091	863	790	902	1006
ENSMUSG00000093357	3	4	1	1	3	1
ENSMUSG00000088952	1	2	3	0	0	3
ENSMUSG00000062742	0	2	0	0	1	0
ENSMUSG00000090430	64	63	60	60	70	64
ENSMUSG00000088059	4	4	1	1	3	0
ENSMUSG00000065649	2	0	0	1	2	3
ENSMUSG00000037236	4894	4604	4682	4443	3666	4104
ENSMUSG00000037058	3698	3613	3630	3441	3470	3834
ENSMUSG00000024354	20	22	17	26	21	16
ENSMUSG00000024353	40	34	6	8	39	36
ENSMUSG00000073600	22	14	13	6	23	17
ENSMUSG00000024352	49	45	41	44	62	61
ENSMUSG00000024350	726	654	744	670	588	673
ENSMUSG00000073598	8	8	12	4	11	15
ENSMUSG00000073599	15	23	5	2	18	33
ENSMUSG00000024349	3616	3489	2908	2492	2380	2653
ENSMUSG00000091842	0	0	0	0	0	0
ENSMUSG00000091896	6572	6248	6059	5520	6255	6653
ENSMUSG00000046668	88	104	126	97	133	140
ENSMUSG00000080529	0	0	0	0	0	0
ENSMUSG00000024347	24	22	14	14	9	15
ENSMUSG00000060275	61	61	20	31	48	62
ENSMUSG00000043991	2098	1977	1786	1724	1161	1286
ENSMUSG00000046727	131	160	344	303	188	238
ENSMUSG00000024346	1285	1169	933	887	1246	1304
ENSMUSG00000024486	119	109	54	62	104	96
ENSMUSG00000024485	0	2	0	1	4	3
ENSMUSG00000024483	4856	4831	4625	4415	2084	2416
ENSMUSG00000085172	1	0	0	2	0	0
ENSMUSG00000090264	24	14	29	24	20	24
ENSMUSG00000006050	1675	1553	1562	1509	1530	1727
ENSMUSG00000001379	554	511	629	519	413	451
ENSMUSG00000033272	2712	2528	2418	2327	2196	2512
ENSMUSG00000044719	17	13	9	8	11	15
ENSMUSG00000051439	13731	12859	6678	6236	6172	6940
ENSMUSG00000006850	538	459	507	442	416	489
ENSMUSG00000014294	3701	3507	3219	2852	4524	5056
ENSMUSG00000024474	9049	9151	6911	6824	6406	7215
ENSMUSG00000042660	741	657	606	618	759	754
ENSMUSG00000044595	49	48	44	52	50	65
ENSMUSG00000001380	1859	1731	1637	1591	1717	1942
ENSMUSG00000019143	1352	1236	1392	1317	979	1081
ENSMUSG00000001383	3889	3931	3169	3148	4078	4467
ENSMUSG00000065145	2	4	4	3	11	11
ENSMUSG00000077069	0	0	0	0	0	0
ENSMUSG00000063514	0	0	1	0	1	1
ENSMUSG00000007440	5	5	3	2	12	11
ENSMUSG00000091969	0	1	0	0	1	0
ENSMUSG00000073594	1	0	0	0	0	0
ENSMUSG00000073593	1	0	0	0	2	2
ENSMUSG00000051663	1	0	0	0	2	0
ENSMUSG00000051599	2	0	0	0	1	0
ENSMUSG00000045498	1	3	0	0	5	5
ENSMUSG00000045689	3	2	1	0	5	3
ENSMUSG00000063687	5	3	1	1	3	6
ENSMUSG00000051678	0	1	0	1	0	1
ENSMUSG00000045062	2	7	0	1	3	2
ENSMUSG00000045876	0	0	0	0	1	2
ENSMUSG00000051242	8	8	0	0	6	8
ENSMUSG00000045657	1	2	0	0	2	2
ENSMUSG00000051486	0	0	0	0	3	1
ENSMUSG00000043458	5	2	0	0	1	1
ENSMUSG00000047307	1	0	0	0	0	0
ENSMUSG00000044043	1	4	0	0	2	1
ENSMUSG00000047033	3	2	0	1	3	2
ENSMUSG00000047910	2	4	0	0	0	11
ENSMUSG00000046387	5	2	3	4	4	7
ENSMUSG00000048347	0	2	2	0	1	1
ENSMUSG00000043313	1	1	0	0	0	6
ENSMUSG00000046191	2	2	1	0	6	2
ENSMUSG00000044022	0	1	0	2	1	2
ENSMUSG00000073591	10	16	3	2	9	8
ENSMUSG00000050304	5	4	6	3	6	5
ENSMUSG00000051316	651	557	448	460	417	490
ENSMUSG00000073590	59	80	74	83	53	51
ENSMUSG00000023036	754	760	422	393	795	952
ENSMUSG00000088493	0	0	0	0	0	0
ENSMUSG00000085906	19	10	9	5	11	10
ENSMUSG00000024456	11555	11096	12862	11705	7768	8760
ENSMUSG00000024454	2245	2281	2239	2083	2159	2351
ENSMUSG00000044024	15	26	19	18	15	17
ENSMUSG00000038524	635	589	685	637	472	559
ENSMUSG00000024451	1417	1434	1623	1575	903	1087
ENSMUSG00000093175	3	1	1	1	1	0
ENSMUSG00000051375	37	47	9	6	35	28
ENSMUSG00000089983	5	0	0	3	8	14
ENSMUSG00000086988	30	25	34	18	28	32
ENSMUSG00000066475	6	6	3	3	2	0
ENSMUSG00000024442	592	563	615	603	535	546
ENSMUSG00000024440	4	0	0	0	6	5
ENSMUSG00000060450	3059	2743	2621	2367	2232	2496
ENSMUSG00000089296	12	4	8	9	4	3
ENSMUSG00000052102	9524	8993	8268	7522	8194	9033
ENSMUSG00000088384	0	0	0	0	0	2
ENSMUSG00000024425	3739	3413	3510	3291	3103	3445
ENSMUSG00000092786	0	1	0	1	0	0
ENSMUSG00000024427	37	36	39	37	54	52
ENSMUSG00000036452	1726	1672	1924	1816	1493	1559
ENSMUSG00000073576	0	0	0	0	0	0
ENSMUSG00000083766	0	0	0	0	0	0
ENSMUSG00000081773	0	1	0	0	0	0
ENSMUSG00000036585	152	130	350	292	129	167
ENSMUSG00000086991	1	2	2	2	1	0
ENSMUSG00000086312	1	2	2	0	1	2
ENSMUSG00000082287	0	2	2	1	0	0
ENSMUSG00000085289	58	71	42	50	28	39
ENSMUSG00000024431	3927	3696	3256	3045	2022	2375
ENSMUSG00000051732	0	0	0	0	0	2
ENSMUSG00000024487	1831	1818	1749	1553	1372	1537
ENSMUSG00000071860	0	0	0	0	1	0
ENSMUSG00000051401	0	0	0	0	0	1
ENSMUSG00000069391	0	0	0	0	0	0
ENSMUSG00000088898	0	0	0	0	0	0
ENSMUSG00000080326	0	0	0	0	0	0
ENSMUSG00000088611	0	0	0	0	0	0
ENSMUSG00000093361	0	0	0	0	0	0
ENSMUSG00000056671	234	222	197	189	229	246
ENSMUSG00000073574	0	1	0	0	2	1
ENSMUSG00000057719	2	1	0	0	0	4
ENSMUSG00000034339	0	0	0	0	0	0
ENSMUSG00000059455	1	0	0	1	1	5
ENSMUSG00000024493	2087	2014	1926	1835	1551	1724
ENSMUSG00000072528	0	0	1	1	7	2
ENSMUSG00000024491	1667	1689	1746	1635	1139	1235
ENSMUSG00000092935	0	0	0	0	0	0
ENSMUSG00000024497	0	0	0	0	0	2
ENSMUSG00000056849	1	0	0	0	0	0
ENSMUSG00000024498	2043	2071	2023	1972	1490	1620
ENSMUSG00000042816	3	2	0	3	3	2
ENSMUSG00000024500	0	2	1	0	2	3
ENSMUSG00000084959	0	0	0	0	0	0
ENSMUSG00000065886	0	0	0	0	1	0
ENSMUSG00000048188	33	28	30	29	24	26
ENSMUSG00000039954	0	2	0	0	1	1
ENSMUSG00000024501	140	151	18	26	188	240
ENSMUSG00000043424	20	21	15	12	7	14
ENSMUSG00000024502	1	2	0	0	5	0
ENSMUSG00000024503	0	0	0	0	0	0
ENSMUSG00000088732	0	0	0	0	0	0
ENSMUSG00000038791	0	2	1	0	2	1
ENSMUSG00000071858	0	0	0	0	0	0
ENSMUSG00000055561	0	0	0	0	1	0
ENSMUSG00000051050	0	1	0	0	0	0
ENSMUSG00000055095	0	0	0	0	0	0
ENSMUSG00000061144	0	0	0	0	0	0
ENSMUSG00000069385	0	0	0	0	0	0
ENSMUSG00000053729	0	0	0	0	0	0
ENSMUSG00000073573	0	0	0	0	0	0
ENSMUSG00000073572	0	1	0	0	0	0
ENSMUSG00000038071	0	0	0	0	0	1
ENSMUSG00000024471	0	0	0	0	0	0
ENSMUSG00000024472	4095	3784	2238	2153	1552	1731
ENSMUSG00000071856	30	34	15	23	42	36
ENSMUSG00000086579	1	0	0	0	1	2
ENSMUSG00000034653	733	662	564	543	296	332
ENSMUSG00000054477	3	1	2	1	3	5
ENSMUSG00000073569	0	0	0	0	0	0
ENSMUSG00000088649	0	0	0	0	0	0
ENSMUSG00000033949	755	711	806	853	591	673
ENSMUSG00000033993	0	2	1	1	2	0
ENSMUSG00000024477	1110	1024	827	779	436	553
ENSMUSG00000077870	2	0	1	0	1	1
ENSMUSG00000071855	213	241	263	235	208	228
ENSMUSG00000090893	6	7	8	1	6	6
ENSMUSG00000080355	0	0	0	0	0	0
ENSMUSG00000046487	3	5	5	4	6	5
ENSMUSG00000088804	0	0	0	0	0	0
ENSMUSG00000033319	2801	2748	2137	1920	1276	1488
ENSMUSG00000056130	1104	1023	821	744	636	708
ENSMUSG00000033184	6067	5569	5176	5052	3973	4240
ENSMUSG00000057561	3561	3388	3035	2700	2736	3088
ENSMUSG00000033022	121	113	45	54	118	160
ENSMUSG00000032905	2611	2333	2358	2211	2140	2384
ENSMUSG00000024480	4104	3932	4320	3781	3868	4028
ENSMUSG00000024481	0	2	0	1	3	4
ENSMUSG00000065690	0	0	0	0	0	0
ENSMUSG00000073568	0	1	0	0	3	2
ENSMUSG00000042705	1018	901	854	877	968	1050
ENSMUSG00000087857	0	0	0	0	0	0
ENSMUSG00000093158	0	0	0	0	0	0
ENSMUSG00000019647	77	67	24	22	58	49
ENSMUSG00000059040	8	12	11	7	6	5
ENSMUSG00000088904	0	0	0	0	0	0
ENSMUSG00000024505	109	108	115	85	110	116
ENSMUSG00000087020	3	5	3	5	4	5
ENSMUSG00000037416	2975	3096	2310	2202	1182	1292
ENSMUSG00000062210	7846	7454	7705	7089	7275	7983
ENSMUSG00000073567	49	48	46	34	12	30
ENSMUSG00000086600	26	26	21	15	16	15
ENSMUSG00000024507	4680	4441	6014	5396	4264	4974
ENSMUSG00000085939	9	6	3	7	10	7
ENSMUSG00000092728	0	0	0	0	0	0
ENSMUSG00000035420	0	0	0	1	0	0
ENSMUSG00000048875	0	0	0	0	0	0
ENSMUSG00000073565	3	1	0	0	4	4
ENSMUSG00000064820	0	0	0	0	0	0
ENSMUSG00000077317	0	0	0	0	0	0
ENSMUSG00000069379	0	1	0	0	1	0
ENSMUSG00000065250	0	0	0	0	0	0
ENSMUSG00000024510	0	0	0	0	1	0
ENSMUSG00000024528	566	508	529	415	407	465
ENSMUSG00000024529	1518	1618	563	549	1155	1361
ENSMUSG00000046886	0	0	0	0	1	1
ENSMUSG00000024532	0	0	0	0	0	1
ENSMUSG00000053624	3	0	0	1	3	2
ENSMUSG00000024534	42	36	7	8	15	28
ENSMUSG00000034484	11058	10732	5945	5621	5515	5932
ENSMUSG00000024535	770	693	748	673	554	645
ENSMUSG00000024538	720	650	789	722	662	746
ENSMUSG00000069378	0	0	0	0	0	3
ENSMUSG00000048799	2082	2101	2076	1941	1563	1656
ENSMUSG00000073563	1393	1341	1407	1249	1060	1177
ENSMUSG00000069376	6	6	3	7	10	11
ENSMUSG00000084814	0	2	0	0	0	0
ENSMUSG00000052713	1187	1103	848	849	585	719
ENSMUSG00000092154	3	2	3	0	2	3
ENSMUSG00000085098	3	6	8	6	3	7
ENSMUSG00000084521	0	0	0	0	0	0
ENSMUSG00000088227	0	0	0	0	0	0
ENSMUSG00000092702	1	0	0	0	0	0
ENSMUSG00000077863	0	0	0	0	0	0
ENSMUSG00000088617	0	0	0	0	0	0
ENSMUSG00000088440	0	0	0	0	0	0
ENSMUSG00000092866	0	0	0	0	0	1
ENSMUSG00000001700	367	368	477	442	355	367
ENSMUSG00000053644	745	678	640	558	632	714
ENSMUSG00000008301	1463	1439	1365	1393	1445	1567
ENSMUSG00000032900	0	0	0	0	0	1
ENSMUSG00000024590	999	979	1057	1015	815	915
ENSMUSG00000032656	107	88	113	127	93	114
ENSMUSG00000087597	0	2	0	0	2	1
ENSMUSG00000024592	426	417	376	343	322	383
ENSMUSG00000024593	16	20	3	2	11	18
ENSMUSG00000024594	1654	1603	1701	1433	1351	1497
ENSMUSG00000086607	41	45	23	25	34	38
ENSMUSG00000069372	0	0	0	0	0	0
ENSMUSG00000085800	0	0	0	0	3	0
ENSMUSG00000058925	0	0	0	0	2	0
ENSMUSG00000088776	0	0	0	0	0	0
ENSMUSG00000024597	236	252	272	257	225	243
ENSMUSG00000024598	1	9	2	0	14	15
ENSMUSG00000091641	0	0	0	0	0	0
ENSMUSG00000089095	0	0	0	0	0	0
ENSMUSG00000024600	122	85	170	186	99	80
ENSMUSG00000077243	0	0	0	0	0	0
ENSMUSG00000024601	2835	2589	1663	1525	1205	1401
ENSMUSG00000053441	2	0	0	0	0	4
ENSMUSG00000050875	2	0	0	1	0	1
ENSMUSG00000087941	0	0	0	0	0	0
ENSMUSG00000058152	18	14	13	15	16	4
ENSMUSG00000089285	0	0	0	0	0	0
ENSMUSG00000077077	0	0	0	0	0	0
ENSMUSG00000073555	2183	2194	129	117	235	247
ENSMUSG00000085977	308	310	15	9	17	33
ENSMUSG00000068606	32	37	4	10	12	10
ENSMUSG00000090942	591	640	50	45	40	54
ENSMUSG00000054072	2539	2329	35	27	158	166
ENSMUSG00000073554	1	0	0	0	1	1
ENSMUSG00000063388	41	41	2	0	4	3
ENSMUSG00000038059	3547	3387	3517	3319	3430	3907
ENSMUSG00000024603	4195	3955	3854	3532	3069	3425
ENSMUSG00000024604	2076	1957	1972	1884	1740	1860
ENSMUSG00000049173	1	1	1	0	1	1
ENSMUSG00000043079	249	256	349	341	187	229
ENSMUSG00000054008	3728	3766	4127	3858	1897	2258
ENSMUSG00000024608	22317	20888	21070	18619	27488	30513
ENSMUSG00000080779	1	0	0	0	0	1
ENSMUSG00000024610	160900	158492	164176	151165	150825	170149
ENSMUSG00000093327	233	232	191	166	176	189
ENSMUSG00000024613	2063	1995	1428	1328	1228	1334
ENSMUSG00000036412	2	6	2	1	3	5
ENSMUSG00000024617	27	30	79	55	31	39
ENSMUSG00000052026	13	10	4	5	9	17
ENSMUSG00000024619	0	2	0	0	1	2
ENSMUSG00000024620	450	461	117	104	432	546
